"FileName","FullPath","StartTime","Duration","Deployment","SegStart","SegDur","SiteID","Type"
"AU-AWCL01-130930-053000.wav","/AW13_AU_CL01/09_2013/","130930-053000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-130930-103000.wav","/AW13_AU_CL01/09_2013/","130930-103000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131003-132000.wav","/AW13_AU_CL01/10_2013/","131003-132000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131010-151000.wav","/AW13_AU_CL01/10_2013/","131010-151000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131010-151000.wav","/AW13_AU_CL01/10_2013/","131010-151000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131010-151000.wav","/AW13_AU_CL01/10_2013/","131010-151000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131010-151000.wav","/AW13_AU_CL01/10_2013/","131010-151000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131010-152000.wav","/AW13_AU_CL01/10_2013/","131010-152000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131010-152000.wav","/AW13_AU_CL01/10_2013/","131010-152000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131024-145000.wav","/AW13_AU_CL01/10_2013/","131024-145000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131028-134000.wav","/AW13_AU_CL01/10_2013/","131028-134000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131028-134000.wav","/AW13_AU_CL01/10_2013/","131028-134000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131028-134000.wav","/AW13_AU_CL01/10_2013/","131028-134000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131028-134000.wav","/AW13_AU_CL01/10_2013/","131028-134000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131028-134000.wav","/AW13_AU_CL01/10_2013/","131028-134000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131028-135000.wav","/AW13_AU_CL01/10_2013/","131028-135000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131028-135000.wav","/AW13_AU_CL01/10_2013/","131028-135000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131028-135000.wav","/AW13_AU_CL01/10_2013/","131028-135000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131028-135000.wav","/AW13_AU_CL01/10_2013/","131028-135000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131028-135000.wav","/AW13_AU_CL01/10_2013/","131028-135000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131028-135000.wav","/AW13_AU_CL01/10_2013/","131028-135000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131028-135000.wav","/AW13_AU_CL01/10_2013/","131028-135000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131028-140000.wav","/AW13_AU_CL01/10_2013/","131028-140000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131028-140000.wav","/AW13_AU_CL01/10_2013/","131028-140000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131028-140000.wav","/AW13_AU_CL01/10_2013/","131028-140000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131028-140000.wav","/AW13_AU_CL01/10_2013/","131028-140000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131028-140000.wav","/AW13_AU_CL01/10_2013/","131028-140000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131028-140000.wav","/AW13_AU_CL01/10_2013/","131028-140000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131028-140000.wav","/AW13_AU_CL01/10_2013/","131028-140000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131028-141000.wav","/AW13_AU_CL01/10_2013/","131028-141000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131028-141000.wav","/AW13_AU_CL01/10_2013/","131028-141000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131028-141000.wav","/AW13_AU_CL01/10_2013/","131028-141000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131028-141000.wav","/AW13_AU_CL01/10_2013/","131028-141000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131028-141000.wav","/AW13_AU_CL01/10_2013/","131028-141000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131028-141000.wav","/AW13_AU_CL01/10_2013/","131028-141000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131028-141000.wav","/AW13_AU_CL01/10_2013/","131028-141000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131031-062000.wav","/AW13_AU_CL01/10_2013/","131031-062000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131031-062000.wav","/AW13_AU_CL01/10_2013/","131031-062000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131031-062000.wav","/AW13_AU_CL01/10_2013/","131031-062000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131031-064000.wav","/AW13_AU_CL01/10_2013/","131031-064000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131031-064000.wav","/AW13_AU_CL01/10_2013/","131031-064000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131031-064000.wav","/AW13_AU_CL01/10_2013/","131031-064000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131031-064000.wav","/AW13_AU_CL01/10_2013/","131031-064000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131031-064000.wav","/AW13_AU_CL01/10_2013/","131031-064000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131031-065000.wav","/AW13_AU_CL01/10_2013/","131031-065000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131031-065000.wav","/AW13_AU_CL01/10_2013/","131031-065000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131031-065000.wav","/AW13_AU_CL01/10_2013/","131031-065000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131031-065000.wav","/AW13_AU_CL01/10_2013/","131031-065000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131031-065000.wav","/AW13_AU_CL01/10_2013/","131031-065000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131031-065000.wav","/AW13_AU_CL01/10_2013/","131031-065000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131031-065000.wav","/AW13_AU_CL01/10_2013/","131031-065000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131031-070000.wav","/AW13_AU_CL01/10_2013/","131031-070000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131031-070000.wav","/AW13_AU_CL01/10_2013/","131031-070000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131031-070000.wav","/AW13_AU_CL01/10_2013/","131031-070000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131031-070000.wav","/AW13_AU_CL01/10_2013/","131031-070000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131031-070000.wav","/AW13_AU_CL01/10_2013/","131031-070000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131031-070000.wav","/AW13_AU_CL01/10_2013/","131031-070000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131031-070000.wav","/AW13_AU_CL01/10_2013/","131031-070000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131031-071000.wav","/AW13_AU_CL01/10_2013/","131031-071000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131031-071000.wav","/AW13_AU_CL01/10_2013/","131031-071000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131031-071000.wav","/AW13_AU_CL01/10_2013/","131031-071000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131031-071000.wav","/AW13_AU_CL01/10_2013/","131031-071000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131031-071000.wav","/AW13_AU_CL01/10_2013/","131031-071000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131031-071000.wav","/AW13_AU_CL01/10_2013/","131031-071000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131031-071000.wav","/AW13_AU_CL01/10_2013/","131031-071000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131031-110000.wav","/AW13_AU_CL01/10_2013/","131031-110000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131031-110000.wav","/AW13_AU_CL01/10_2013/","131031-110000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131031-110000.wav","/AW13_AU_CL01/10_2013/","131031-110000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131031-110000.wav","/AW13_AU_CL01/10_2013/","131031-110000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131031-110000.wav","/AW13_AU_CL01/10_2013/","131031-110000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131031-110000.wav","/AW13_AU_CL01/10_2013/","131031-110000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131031-110000.wav","/AW13_AU_CL01/10_2013/","131031-110000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131031-111000.wav","/AW13_AU_CL01/10_2013/","131031-111000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131031-111000.wav","/AW13_AU_CL01/10_2013/","131031-111000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131031-111000.wav","/AW13_AU_CL01/10_2013/","131031-111000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131031-111000.wav","/AW13_AU_CL01/10_2013/","131031-111000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131031-111000.wav","/AW13_AU_CL01/10_2013/","131031-111000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131031-111000.wav","/AW13_AU_CL01/10_2013/","131031-111000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131031-111000.wav","/AW13_AU_CL01/10_2013/","131031-111000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131031-112000.wav","/AW13_AU_CL01/10_2013/","131031-112000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131031-112000.wav","/AW13_AU_CL01/10_2013/","131031-112000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131031-112000.wav","/AW13_AU_CL01/10_2013/","131031-112000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131031-112000.wav","/AW13_AU_CL01/10_2013/","131031-112000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131031-112000.wav","/AW13_AU_CL01/10_2013/","131031-112000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131031-112000.wav","/AW13_AU_CL01/10_2013/","131031-112000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131031-112000.wav","/AW13_AU_CL01/10_2013/","131031-112000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131031-113000.wav","/AW13_AU_CL01/10_2013/","131031-113000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131031-113000.wav","/AW13_AU_CL01/10_2013/","131031-113000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131031-113000.wav","/AW13_AU_CL01/10_2013/","131031-113000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131031-113000.wav","/AW13_AU_CL01/10_2013/","131031-113000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131031-113000.wav","/AW13_AU_CL01/10_2013/","131031-113000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131031-113000.wav","/AW13_AU_CL01/10_2013/","131031-113000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131031-113000.wav","/AW13_AU_CL01/10_2013/","131031-113000",600,"AW13_AU_CL01",540,60,"CL1","HIGH"
"AU-AWCL01-131031-114000.wav","/AW13_AU_CL01/10_2013/","131031-114000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131031-114000.wav","/AW13_AU_CL01/10_2013/","131031-114000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131031-114000.wav","/AW13_AU_CL01/10_2013/","131031-114000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131031-114000.wav","/AW13_AU_CL01/10_2013/","131031-114000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131031-114000.wav","/AW13_AU_CL01/10_2013/","131031-114000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
"AU-AWCL01-131031-114000.wav","/AW13_AU_CL01/10_2013/","131031-114000",600,"AW13_AU_CL01",450,90,"CL1","HIGH"
"AU-AWCL01-131031-115000.wav","/AW13_AU_CL01/10_2013/","131031-115000",600,"AW13_AU_CL01",0,90,"CL1","HIGH"
"AU-AWCL01-131031-115000.wav","/AW13_AU_CL01/10_2013/","131031-115000",600,"AW13_AU_CL01",90,90,"CL1","HIGH"
"AU-AWCL01-131031-115000.wav","/AW13_AU_CL01/10_2013/","131031-115000",600,"AW13_AU_CL01",180,90,"CL1","HIGH"
"AU-AWCL01-131031-115000.wav","/AW13_AU_CL01/10_2013/","131031-115000",600,"AW13_AU_CL01",270,90,"CL1","HIGH"
"AU-AWCL01-131031-115000.wav","/AW13_AU_CL01/10_2013/","131031-115000",600,"AW13_AU_CL01",360,90,"CL1","HIGH"
