"StartTime","EndTime","LowFreq","HighFreq","StartFile","EndFile","label","Type","SignalCode"
19.838,22.852,1073.5,1560,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
73.935,76.658,1263.6,1537.6,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
103.449,106.123,1191,1571.2,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
138.729,141.306,1079.1,1537.6,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
176.733,179.65,1146.2,1532,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
224.169,227.28,1112.7,1599.1,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
258.01,261.073,1185.4,1515.3,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
285.997,288.525,1218.9,1509.7,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
324.263,327.18,1095.9,1520.8,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
363.579,366.642,1135,1509.7,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
403.089,405.909,1123.9,1565.6,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
429.54,432.7,1017.6,1509.7,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
466.619,468.321,1023.2,1565.6,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
492.759,495.19,1040,1526.4,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
522.904,525.287,1123.9,1582.3,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
567.909,570.583,1051.2,1548.8,"AU-AWKZ01-121019-040000.wav","AU-AWKZ01-121019-040000.wav","y","i_neg","BN"
43.838,45.929,1224.5,1615.9,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
55.075,58.138,1258,1537.6,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
67.692,71.193,1246.9,1481.7,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
103.721,106.347,1280.4,1532,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
136.765,139.877,1246.9,1526.4,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
168.107,171.608,1163,1526.4,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
222.934,225.511,1028.8,1621.5,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
232.075,234.603,1079.1,1627.1,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
259.449,261.734,1213.3,1565.6,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
291.909,294.729,1179.8,1526.4,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
339.005,342.846,1174.2,1520.8,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
362.198,365.358,1157.4,1666.2,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
395.436,398.742,1101.5,1576.8,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
404.82,407.105,1235.7,1582.3,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
413.669,416.441,1073.5,1576.8,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
423.248,425.29,1129.4,1582.3,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
464.509,468.253,1274.8,1560,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
491.815,495.462,1146.2,1543.2,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
539.154,542.314,1151.8,1599.1,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
562.59,564.34,1263.6,1688.6,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
585.199,587.436,1252.5,1627.1,"AU-AWKZ01-121019-041000.wav","AU-AWKZ01-121019-041000.wav","y","i_neg","BN"
27.1900000000001,30.6900000000001,1146.2,1615.9,"AU-AWKZ01-121019-042000.wav","AU-AWKZ01-121019-042000.wav","y","i_neg","BN"
