"StartTime","EndTime","LowFreq","HighFreq","StartFile","EndFile","label","Type","SignalCode"
306.758,310.697,1143.1,1609.1,"AU-AWPH01-141007-054000.wav","AU-AWPH01-141007-054000.wav","y","i_neg","BN"
351.423,354.729,1082.6,1536,"AU-AWPH01-141007-054000.wav","AU-AWPH01-141007-054000.wav","y","i_neg","BN"
378.263,381.228,1086.5,1532.1,"AU-AWPH01-141007-054000.wav","AU-AWPH01-141007-054000.wav","y","i_neg","BN"
410.48,413.154,1113.9,1602.4,"AU-AWPH01-141007-054000.wav","AU-AWPH01-141007-054000.wav","y","i_neg","BN"
438.953,441.044,1301.5,1485.2,"AU-AWPH01-141007-054000.wav","AU-AWPH01-141007-054000.wav","y","i_neg","BN"
494.703,498.253,1090.4,1594.6,"AU-AWPH01-141007-054000.wav","AU-AWPH01-141007-054000.wav","y","i_neg","BN"
558.671,561.199,1117.8,1602.4,"AU-AWPH01-141007-054000.wav","AU-AWPH01-141007-054000.wav","y","i_neg","BN"
107.339,110.694,1254.6,1594.6,"AU-AWPH01-141007-055000.wav","AU-AWPH01-141007-055000.wav","y","i_neg","BN"
202.502,205.663,1137.3,1579,"AU-AWPH01-141007-055000.wav","AU-AWPH01-141007-055000.wav","y","i_neg","BN"
234.788,237.851,1168.6,1614.2,"AU-AWPH01-141007-055000.wav","AU-AWPH01-141007-055000.wav","y","i_neg","BN"
260.392,263.65,992.7,1508.6,"AU-AWPH01-141007-055000.wav","AU-AWPH01-141007-055000.wav","y","i_neg","BN"
297.102,300.554,1020.1,1661.1,"AU-AWPH01-141007-055000.wav","AU-AWPH01-141007-055000.wav","y","i_neg","BN"
461.407,464.616,1059.2,1625.9,"AU-AWPH01-141007-055000.wav","AU-AWPH01-141007-055000.wav","y","i_neg","BN"
487.857,491.601,1090.4,1602.4,"AU-AWPH01-141007-055000.wav","AU-AWPH01-141007-055000.wav","y","i_neg","BN"
516.963,520.658,941.9,1606.4,"AU-AWPH01-141007-055000.wav","AU-AWPH01-141007-055000.wav","y","i_neg","BN"
557.397,561.579,1070.9,1610.3,"AU-AWPH01-141007-055000.wav","AU-AWPH01-141007-055000.wav","y","i_neg","BN"
132.856,136.113,1133.4,1563.4,"AU-AWPH01-141007-060000.wav","AU-AWPH01-141007-060000.wav","y","i_neg","BN"
176.451,179.271,1184.2,1586.8,"AU-AWPH01-141007-060000.wav","AU-AWPH01-141007-060000.wav","y","i_neg","BN"
218.441,221.018,1000.5,1516.5,"AU-AWPH01-141007-060000.wav","AU-AWPH01-141007-060000.wav","y","i_neg","BN"
260.11,263.854,1063.1,1571.2,"AU-AWPH01-141007-060000.wav","AU-AWPH01-141007-060000.wav","y","i_neg","BN"
337.478,340.25,1274.1,1536,"AU-AWPH01-141007-060000.wav","AU-AWPH01-141007-060000.wav","y","i_neg","BN"
399.209,402.272,1086.5,1708,"AU-AWPH01-141007-060000.wav","AU-AWPH01-141007-060000.wav","y","i_neg","BN"
439.303,442.707,1082.6,1539.9,"AU-AWPH01-141007-060000.wav","AU-AWPH01-141007-060000.wav","y","i_neg","BN"
495.345,498.408,1082.6,1555.5,"AU-AWPH01-141007-060000.wav","AU-AWPH01-141007-060000.wav","y","i_neg","BN"
594.788,597.851,1090.4,1606.4,"AU-AWPH01-141007-060000.wav","AU-AWPH01-141007-060000.wav","y","i_neg","BN"
84.963,88.075,981,1645.4,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
114.36,116.499,1129.5,1739.2,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
139.254,141.88,1219.4,1641.5,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
168.895,171.666,1086.5,1610.3,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
183.53,186.788,1340.6,1547.7,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
213.656,217.06,1133.4,1637.6,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
220.415,222.603,1426.6,1653.3,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
243.705,246.865,1156.9,1618.1,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
320.246,322.823,1055.3,1571.2,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
339.112,342.175,1063.1,1625.9,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
439.721,443.611,1153,1614.2,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
484.191,486.865,1141.3,1516.5,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
507.335,510.447,938,1524.3,"AU-AWPH01-141007-061000.wav","AU-AWPH01-141007-061000.wav","y","i_neg","BN"
