"StartTime","EndTime","LowFreq","HighFreq","StartFile","EndFile","label","Type","SignalCode"
20.68,24.68,1000,2000,"TA-XTRL01_01-171022_210947.wav","TA-XTRL01_01-171022_210947.wav","y","i_neg","BN"
50.68,54.68,1000,2000,"TA-XTRL01_01-171022_211447.wav","TA-XTRL01_01-171022_211447.wav","y","i_neg","BN"
28.68,32.68,1000,2000,"TA-XTRL01_01-171022_212047.wav","TA-XTRL01_01-171022_212047.wav","y","i_neg","BN"
46.68,50.68,1000,2000,"TA-XTRL01_01-171022_212547.wav","TA-XTRL01_01-171022_212547.wav","y","i_neg","BN"
6.68,10.68,1000,2000,"TA-XTRL01_01-171022_213247.wav","TA-XTRL01_01-171022_213247.wav","y","i_neg","BN"
40.68,44.68,1000,2000,"TA-XTRL01_01-171022_213747.wav","TA-XTRL01_01-171022_213747.wav","y","i_neg","BN"
32.68,36.68,1000,2000,"TA-XTRL01_01-171022_214347.wav","TA-XTRL01_01-171022_214347.wav","y","i_neg","BN"
48.68,52.68,1000,2000,"TA-XTRL01_01-171022_214847.wav","TA-XTRL01_01-171022_214847.wav","y","i_neg","BN"
17.68,21.68,1000,2000,"TA-XTRL01_01-171022_221847.wav","TA-XTRL01_01-171022_221847.wav","y","i_neg","BN"
49.68,53.68,1000,2000,"TA-XTRL01_01-171022_232347.wav","TA-XTRL01_01-171022_232347.wav","y","i_neg","BN"
40.68,44.68,1000,2000,"TA-XTRL01_01-171022_232447.wav","TA-XTRL01_01-171022_232447.wav","y","i_neg","BN"
37.68,41.68,1000,2000,"TA-XTRL01_01-171022_232647.wav","TA-XTRL01_01-171022_232647.wav","y","i_neg","BN"
53.68,57.68,1000,2000,"TA-XTRL01_01-171022_232747.wav","TA-XTRL01_01-171022_232747.wav","y","i_neg","BN"
48.68,52.68,1000,2000,"TA-XTRL01_01-171022_232847.wav","TA-XTRL01_01-171022_232847.wav","y","i_neg","BN"
44.68,48.68,1000,2000,"TA-XTRL01_01-171022_233047.wav","TA-XTRL01_01-171022_233047.wav","y","i_neg","BN"
55.68,59.68,1000,2000,"TA-XTRL01_01-171022_233147.wav","TA-XTRL01_01-171022_233147.wav","y","i_neg","BN"
14.68,18.68,1000,2000,"TA-XTRL01_01-171022_233247.wav","TA-XTRL01_01-171022_233247.wav","y","i_neg","BN"
51.68,55.68,1000,2000,"TA-XTRL01_01-171022_233247.wav","TA-XTRL01_01-171022_233247.wav","y","i_neg","BN"
53.68,57.68,1000,2000,"TA-XTRL01_01-171022_233347.wav","TA-XTRL01_01-171022_233347.wav","y","i_neg","BN"
40.68,44.68,1000,2000,"TA-XTRL01_01-171022_233447.wav","TA-XTRL01_01-171022_233447.wav","y","i_neg","BN"
44.68,48.68,1000,2000,"TA-XTRL01_01-171022_233547.wav","TA-XTRL01_01-171022_233547.wav","y","i_neg","BN"
54.68,58.68,1000,2000,"TA-XTRL01_01-171022_233747.wav","TA-XTRL01_01-171022_233747.wav","y","i_neg","BN"
49.68,53.68,1000,2000,"TA-XTRL01_01-171022_233847.wav","TA-XTRL01_01-171022_233847.wav","y","i_neg","BN"
17.68,21.68,1000,2000,"TA-XTRL01_01-171022_234047.wav","TA-XTRL01_01-171022_234047.wav","y","i_neg","BN"
41.68,45.68,1000,2000,"TA-XTRL01_01-171022_234247.wav","TA-XTRL01_01-171022_234247.wav","y","i_neg","BN"
8.68,12.68,1000,2000,"TA-XTRL01_01-171022_234547.wav","TA-XTRL01_01-171022_234547.wav","y","i_neg","BN"
28.68,32.68,1000,2000,"TA-XTRL01_01-171022_234747.wav","TA-XTRL01_01-171022_234747.wav","y","i_neg","BN"
