"StartTime","EndTime","LowFreq","HighFreq","StartFile","EndFile","label","Type","SignalCode","Comments"
0.33919322,10.929559296,138.434,941.712,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.4",""
14.698372846,22.311376217,69.217,956.284,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.4",""
24.459599941,31.092711789,102.004,499.089,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.12",""
31.205776195,37.876576179,96.539,810.565,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.4",""
35.615288049,44.961945654,58.288,639.344,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.13",""
46.657911751,55.929193085,61.931,577.413,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.13",""
58.032630499,64.477301669,65.574,380.692,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.13",""
68.396867762,76.009871133,76.503,601.093,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.13",""
73.258637241,84.07513213,58.288,723.133,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.3",""
85.017335518,95.909206678,69.217,969.035,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.3",""
96.738345659,106.838765973,58.288,795.993,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.3",""
115.009993203,130.160623675,100.182,887.067,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.3",""
133.89174909,143.200718559,195.847,975.505,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.4",""
144.896684656,153.07501006,143.621,1005.348,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.4",""
154.318718532,163.175430375,74.608,1012.809,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.4",""
165.316555924,170.027572862,95.126,977.37,"AU-BSPM04-151203-120000.wav","AU-BSPM04-151203-120000.wav","y","i_neg","HB.s.p.10",""
